City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,Orodara,10.9492,-4.9342,89.19,34,54,4.34,BF,2022-06-05 18:20:01
202,Port Arthur,38.8,121.2667,67.91,89,69,11.36,CN,2022-06-05 18:20:01
203,Kodiak,57.79,-152.4072,60.31,59,0,5.75,US,2022-06-05 18:20:02
204,Nosy Varika,-20.5833,48.5333,68.95,89,43,3.94,MG,2022-06-05 18:20:02
205,Kangaatsiaq,68.3065,-53.4641,35.2,64,30,17.49,GL,2022-06-05 18:20:02
206,Manaure,11.7751,-72.4445,90.21,54,64,16.24,CO,2022-06-05 18:20:03
207,Emirdag,39.0197,31.15,66.61,70,77,0.85,TR,2022-06-05 18:20:03
208,Udomlya,57.8794,34.9925,53.08,93,65,5.55,RU,2022-06-05 18:20:03
209,Isangel,-19.55,169.2667,73.58,79,30,6.89,VU,2022-06-05 18:20:04
210,Whitehorse,60.7161,-135.0538,57.02,72,75,2.3,CA,2022-06-05 18:15:33
211,Boa Vista,2.8197,-60.6733,85.98,66,75,5.75,BR,2022-06-05 18:20:04
212,Armacao De Pera,37.1026,-8.357,78.1,58,3,17.98,PT,2022-06-05 18:20:05
213,Okoneshnikovo,54.8377,75.0834,43.07,76,40,6.44,RU,2022-06-05 18:20:05
214,Luderitz,-26.6481,15.1594,69.01,34,67,9.95,NA,2022-06-05 18:20:06
215,Antofagasta,-23.65,-70.4,67.21,58,46,9.84,CL,2022-06-05 18:20:06
216,Boende,-0.2167,20.8667,75.63,80,91,0.58,CD,2022-06-05 18:20:06
217,Smolyaninovo,43.2956,132.4675,45.86,98,100,2.04,RU,2022-06-05 18:20:07
218,Lubango,-14.9172,13.4925,56.66,37,63,3.51,AO,2022-06-05 18:20:07
219,Mitsamiouli,-11.3847,43.2844,78.89,74,68,13.27,KM,2022-06-05 18:20:07
220,Maceio,-9.6658,-35.7353,81.84,69,40,9.22,BR,2022-06-05 18:18:31
